ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volatility,next2_pct,next_pct,period_guess
000036.SZ,20251223,6.13,6.13,6.13,6.13,5.57,0.56,10.0539,211072.7,129387.565,0.0,10.0,9.9511,早盘
000036.SZ,20251224,6.74,6.74,6.41,6.74,6.13,0.61,9.9511,998652.45,668684.167,4.896142433234423,9.9822,10.0,尾盘
000036.SZ,20251226,7.81,7.81,7.81,7.81,7.1,0.71,10.0,520684.02,406654.22,0.0,10.0486,9.9822,早盘
000036.SZ,20260121,5.61,6.17,5.58,6.17,5.61,0.56,9.9822,991300.94,591313.96,9.562398703403563,9.9638,10.0486,尾盘
000036.SZ,20260122,6.3,6.79,6.3,6.79,6.17,0.62,10.0486,615179.09,412686.036,7.216494845360828,,9.9638,尾盘
000037.SZ,20250529,8.66,9.46,8.56,9.46,8.6,0.86,10.0,211735.82,197047.635,9.513742071881609,10.0,9.9656,尾盘
000037.SZ,20250704,8.7,9.6,8.7,9.6,8.73,0.87,9.9656,223394.16,211114.213,9.375000000000004,10.0331,10.0,尾盘
000037.SZ,20250707,10.29,10.56,10.15,10.56,9.6,0.96,10.0,967043.25,1009391.064,3.882575757575759,10.0209,10.0331,尾盘
000037.SZ,20251110,9.09,9.98,8.99,9.98,9.07,0.91,10.0331,230013.46,226045.212,9.919839679358718,10.0,10.0209,尾盘
000037.SZ,20260318,9.94,10.54,9.91,10.54,9.58,0.96,10.0209,131235.0,137688.316,5.977229601518018,9.9662,10.0,尾盘
000037.SZ,20260326,10.5,11.99,10.48,11.99,10.9,1.09,10.0,702196.51,789012.934,12.593828190158462,10.0398,9.9662,尾盘
000037.SZ,20260331,11.6,13.02,11.38,13.02,11.84,1.18,9.9662,826064.24,1019335.312,12.596006144393233,,10.0398,尾盘
000039.SZ,20251114,8.1,8.94,8.09,8.94,8.13,0.81,9.9631,2133054.57,1866230.166,9.507829977628631,9.9682,10.0,尾盘
000039.SZ,20251126,8.65,9.35,8.51,9.35,8.5,0.85,10.0,1947423.93,1764493.053,8.983957219251336,10.0289,9.9682,尾盘
000039.SZ,20260203,9.52,10.37,9.5,10.37,9.43,0.94,9.9682,1232300.08,1253607.01,8.389585342333648,10.0,10.0289,尾盘
000039.SZ,20260204,10.55,11.41,10.5,11.41,10.37,1.04,10.0289,1668209.6,1862921.381,7.9754601226993875,,10.0,尾盘
000045.SZ,20250526,10.2,11.13,10.11,11.13,10.12,1.01,9.9802,155306.0,168839.418,9.164420485175214,10.0,9.9912,尾盘
000045.SZ,20250917,11.39,12.44,11.35,12.44,11.31,1.13,9.9912,258834.42,308788.125,8.762057877813504,9.9856,10.0,尾盘
000045.SZ,20251013,13.59,14.85,13.59,14.85,13.5,1.35,10.0,219488.66,318926.567,8.484848484848484,10.0,9.9856,尾盘
000045.SZ,20251023,15.31,15.31,15.1,15.31,13.92,1.39,9.9856,228303.08,349282.059,1.3716525146962824,10.0,10.0,午后
000045.SZ,20260121,12.36,13.64,12.35,13.64,12.4,1.24,10.0,286565.23,383139.943,9.45747800586511,,10.0,尾盘
000048.SZ,20251229,14.99,16.27,14.95,16.27,14.79,1.48,10.0068,420785.4,673881.126,8.113091579594348,9.9881,10.0065,尾盘
000048.SZ,20260120,15.32,16.82,15.18,16.82,15.29,1.53,10.0065,174167.52,285246.183,9.750297265160526,10.0207,9.9881,尾盘
000048.SZ,20260121,17.62,18.5,17.32,18.5,16.82,1.68,9.9881,286228.18,524075.884,6.378378378378377,10.0243,10.0207,尾盘
000048.SZ,20260318,19.5,21.3,19.5,21.3,19.36,1.94,10.0207,141415.29,292425.469,8.450704225352116,,10.0243,尾盘
000058.SZ,20251010,9.84,10.82,9.78,10.82,9.84,0.98,9.9593,371913.85,393534.338,9.611829944547143,,10.0394,尾盘
000061.SZ,20250827,7.04,7.66,7.0,7.66,6.96,0.7,10.0575,482185.2,357884.641,8.616187989556137,9.9526,10.0522,尾盘
000061.SZ,20250828,8.05,8.43,7.93,8.43,7.66,0.77,10.0522,747212.21,622105.469,5.931198102016608,10.0,9.9526,尾盘
000061.SZ,20250910,8.4,9.28,8.37,9.28,8.44,0.84,9.9526,563306.95,506184.494,9.806034482758623,9.9881,10.0,尾盘
000061.SZ,20251021,8.2,9.02,8.15,9.02,8.2,0.82,10.0,353928.05,306150.524,9.645232815964516,10.0541,9.9881,尾盘
000061.SZ,20251111,8.46,9.25,8.36,9.25,8.41,0.84,9.9881,378235.71,339181.391,9.621621621621628,9.9675,10.0541,尾盘
000061.SZ,20251112,9.43,10.18,9.35,10.18,9.25,0.93,10.0541,1066955.78,1061207.307,8.153241650294696,,9.9675,尾盘
